kuerzel	GUN
korrekturkurs0	8a L5
häufigkeit0	2
dauer0	60
schreiber0	21
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	9a L5
häufigkeit1	2
dauer1	2
schreiber1	16
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	Q1 G
häufigkeit2	2
dauer2	2
schreiber2	7
bemerkung2	
andereeingabe2	
nicht2	
korrekturkurs3	EF Ge
häufigkeit3	1
dauer3	2
schreiber3	9
bemerkung3	
andereeingabe3	
nicht3	
korrekturkurs4	EF Ge
häufigkeit4	1
dauer4	2
schreiber4	7
bemerkung4	
andereeingabe4	
nicht4	
korrekturkurs5	Q1 Ge
häufigkeit5	2
dauer5	2
schreiber5	9
bemerkung5	
andereeingabe5	
nicht5	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
